
##### Test execution environment.
# GOARCH: amd64
# CPU: 12th Gen Intel(R) Core(TM) i3-12100F
# GOOS: linux
# OS Version: Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64

##### Testing packages.
ok  	archive/tar	3.599s
ok  	archive/zip	0.638s
ok  	bufio	0.130s
ok  	bytes	0.650s
ok  	cmp	0.010s
ok  	compress/bzip2	0.286s
ok  	compress/flate	3.386s
ok  	compress/gzip	3.056s
ok  	compress/lzw	0.041s
ok  	compress/zlib	0.137s
ok  	container/heap	0.029s
ok  	container/list	0.025s
ok  	container/ring	0.020s
ok  	context	0.187s
ok  	crypto	2.661s
ok  	crypto/aes	0.099s
ok  	crypto/cipher	11.414s
ok  	crypto/des	0.062s
ok  	crypto/dsa	0.072s
ok  	crypto/ecdh	0.163s
ok  	crypto/ecdsa	0.073s
ok  	crypto/ed25519	0.288s
ok  	crypto/elliptic	0.132s
ok  	crypto/fips140	0.047s
ok  	crypto/hkdf	0.064s
ok  	crypto/hmac	0.065s
ok  	crypto/hpke	7.474s
ok  	crypto/internal/boring	0.039s
?   	crypto/internal/boring/bbig	[no test files]
ok  	crypto/internal/boring/bcache	0.345s
?   	crypto/internal/boring/sig	[no test files]
?   	crypto/internal/constanttime	[no test files]
?   	crypto/internal/cryptotest	[no test files]
?   	crypto/internal/entropy	[no test files]
?   	crypto/internal/entropy/v1.0.0	[no test files]
ok  	crypto/internal/fips140	0.016s
ok  	crypto/internal/fips140/aes	0.178s
ok  	crypto/internal/fips140/aes/gcm	0.011s [no tests to run]
?   	crypto/internal/fips140/alias	[no test files]
ok  	crypto/internal/fips140/bigmod	0.287s
?   	crypto/internal/fips140/check	[no test files]
?   	crypto/internal/fips140/check/checktest	[no test files]
ok  	crypto/internal/fips140/drbg	0.029s [no tests to run]
ok  	crypto/internal/fips140/ecdh	0.032s
ok  	crypto/internal/fips140/ecdsa	0.100s
?   	crypto/internal/fips140/ed25519	[no test files]
ok  	crypto/internal/fips140/edwards25519	0.221s
ok  	crypto/internal/fips140/edwards25519/field	0.105s
?   	crypto/internal/fips140/hkdf	[no test files]
?   	crypto/internal/fips140/hmac	[no test files]
ok  	crypto/internal/fips140/mldsa	2.672s
ok  	crypto/internal/fips140/mlkem	0.587s
ok  	crypto/internal/fips140/nistec	0.116s
ok  	crypto/internal/fips140/nistec/fiat	0.026s [no tests to run]
?   	crypto/internal/fips140/pbkdf2	[no test files]
ok  	crypto/internal/fips140/rsa	0.447s
?   	crypto/internal/fips140/sha256	[no test files]
?   	crypto/internal/fips140/sha3	[no test files]
?   	crypto/internal/fips140/sha512	[no test files]
?   	crypto/internal/fips140/ssh	[no test files]
ok  	crypto/internal/fips140/subtle	0.011s
?   	crypto/internal/fips140/tls12	[no test files]
?   	crypto/internal/fips140/tls13	[no test files]
ok  	crypto/internal/fips140cache	3.378s
ok  	crypto/internal/fips140deps	0.318s
?   	crypto/internal/fips140deps/byteorder	[no test files]
?   	crypto/internal/fips140deps/cpu	[no test files]
?   	crypto/internal/fips140deps/godebug	[no test files]
?   	crypto/internal/fips140deps/time	[no test files]
?   	crypto/internal/fips140hash	[no test files]
ok  	crypto/internal/fips140only	1.430s
ok  	crypto/internal/fips140test	36.144s
?   	crypto/internal/impl	[no test files]
?   	crypto/internal/rand	[no test files]
?   	crypto/internal/randutil	[no test files]
ok  	crypto/internal/sysrand	0.868s
?   	crypto/internal/sysrand/internal/seccomp	[no test files]
ok  	crypto/md5	0.128s
ok  	crypto/mlkem	0.516s
?   	crypto/mlkem/mlkemtest	[no test files]
ok  	crypto/pbkdf2	0.037s
ok  	crypto/rand	1.534s
ok  	crypto/rc4	0.195s
ok  	crypto/rsa	1.328s
ok  	crypto/sha1	0.239s
ok  	crypto/sha256	0.180s
ok  	crypto/sha3	7.034s
ok  	crypto/sha512	0.089s
ok  	crypto/subtle	0.660s
ok  	crypto/tls	13.219s
?   	crypto/tls/internal/fips140tls	[no test files]
ok  	crypto/x509	40.493s
